Eu-157,3.10E-10,7.10E-10,4.90E-08,1.00E-03,1.60E-02
Eu-158,2.60E-11,8.50E-11,2.20E-07,1.00E-03,1.60E-02
F-18,2.40E-11,4.60E-11,1.60E-07,2.00E-03,1.60E-02
Fe-52,5.70E-10,1.50E-09,1.16E-07,9.00E-04,1.60E-02
Fe-55,6.30E-10,1.50E-10,1.00E-09,2.00E-05,1.60E-02
Fe-59,3.80E-09,1.90E-09,1.75E-07,1.00E-03,1.60E-02
Fe-60,1.90E-07,3.80E-08,1.00E-09,9.00E-05,1.60E-02
Fm-252,9.80E-08,3.50E-09,2.00E-09,1.00E-06,1.60E-02
Fm-253,1.40E-07,1.50E-09,2.30E-08,2.00E-04,1.60E-02
Fm-254,1.50E-08,4.20E-10,2.00E-09,1.00E-06,1.60E-02
Fm-255,6.90E-08,3.20E-09,1.60E-08,5.00E-06,1.60E-02
Fm-257,4.70E-06,2.80E-08,3.20E-08,6.00E-04,1.60E-02
Fr-222,3.30E-09,7.50E-10,1.00E-09,1.00E-03,1.60E-02
Fr-223,1.70E-09,2.30E-09,1.70E-08,2.00E-03,1.60E-02
Ga-65,1.00E-11,3.60E-11,1.83E-07,1.00E-03,1.60E-02
Ga-66,4.90E-10,1.20E-09,8.77E-07,6.00E-04,1.60E-02
Ga-67,1.60E-10,2.50E-10,2.50E-08,3.00E-05,1.60E-02
Ga-68,3.70E-11,8.60E-11,1.49E-07,1.00E-03,1.60E-02
Ga-70,9.40E-12,3.00E-11,1.00E-09,1.00E-03,1.60E-02
Ga-72,5.00E-10,1.20E-09,3.86E-07,1.00E-03,1.60E-02
Ga-73,9.70E-11,2.70E-10,5.20E-08,1.00E-03,1.60E-02
Gd-145,1.30E-11,4.20E-11,3.60E-07,5.00E-04,1.60E-02
Gd-146,7.50E-09,1.40E-09,5.70E-08,6.00E-04,1.60E-02
Gd-147,4.10E-10,7.10E-10,2.06E-07,4.00E-04,1.60E-02
Gd-148,5.10E-05,3.60E-08,1.00E-09,1.00E-06,1.60E-02
Gd-149,6.40E-10,6.10E-10,7.60E-08,4.00E-04,1.60E-02
Gd-151,1.50E-09,2.80E-10,1.80E-08,2.00E-04,1.60E-02
Gd-152,3.70E-05,2.60E-08,1.00E-09,1.00E-06,1.60E-02
